p_fatal,실제
0.28244102912167235,치명
0.12087976944400629,경+중등도
0.04388049413909254,경+중등도
0.10523201312080072,중상
0.4304514552967726,경+중등도
0.5496579662147737,경+중등도
0.034398187853379315,경+중등도
0.048646155777885315,경+중등도
0.1451252493970475,경+중등도
0.22687576933497308,경+중등도
0.10349815010891712,경+중등도
0.08947928411779542,경+중등도
0.1059396438576788,경+중등도
0.45008621891665185,경+중등도
0.11371357852178914,경+중등도
0.533337723338224,경+중등도
0.42912517662650607,경+중등도
0.17256373074192485,경+중등도
0.12936037681684384,경+중등도
0.10197260688512806,경+중등도
0.024992250144161048,경+중등도
0.6858170466256485,경+중등도
0.38277655727066123,경+중등도
0.143034302748655,경+중등도
0.17808605140987374,치명
0.2808740507153213,경+중등도
0.8604922112301815,경+중등도
0.03547393985415124,경+중등도
0.310788478731882,경+중등도
0.18201608980851733,중상
0.06845975599631383,경+중등도
0.21143742186063216,경+중등도
0.3143746398747613,경+중등도
0.17928020462757058,경+중등도
0.3742758978500738,경+중등도
0.7946985076529997,치명
0.4589786024716221,치명
0.4537792824496362,경+중등도
0.33154447306336454,경+중등도
0.10066282250915477,중상
0.11534940390084159,경+중등도
0.4517601284047849,경+중등도
0.023339920982724572,중상
0.036798356819204577,경+중등도
0.29878597291837683,경+중등도
0.1918512638636357,경+중등도
0.09261539960935561,중상
0.43901799132509617,경+중등도
0.0280794183292989,경+중등도
0.22257769015560394,경+중등도
0.19329624522600328,경+중등도
0.1208119431199991,경+중등도
0.14482899357682258,경+중등도
0.1213426379361231,경+중등도
0.1482344626592773,경+중등도
0.07700637037247875,경+중등도
0.21933989404071574,경+중등도
0.32531789655423404,중상
0.24042046735742661,경+중등도
0.24372027146465436,중상
0.1553902726075236,치명
0.5781465261466368,경+중등도
0.18299937533920652,경+중등도
0.15437546805390276,경+중등도
0.5051818358993164,중상
0.13390693166581794,경+중등도
0.12119141123487798,경+중등도
0.04555362902397433,경+중등도
0.03977114343432261,경+중등도
0.2690805841111467,경+중등도
0.08892829526165687,중상
0.0269892452518465,경+중등도
0.10015562174648522,경+중등도
0.05073206203819197,경+중등도
0.36111474579518515,경+중등도
0.3962524399308456,중상
0.1641552232244741,경+중등도
0.19644317865990005,경+중등도
0.38636276606701064,경+중등도
0.10551060746469108,경+중등도
0.570878546070508,치명
0.10232350796356056,경+중등도
0.03092791405438249,경+중등도
0.14936072891321064,경+중등도
0.11237016589720322,경+중등도
0.6138461130802874,경+중등도
0.12854390602915855,경+중등도
0.17942677115736727,경+중등도
0.47042003276248595,경+중등도
0.7497366020053332,치명
0.07837180626154507,경+중등도
0.0429112945596044,중상
0.10582140155269386,경+중등도
0.21239366658560402,경+중등도
0.06038372688166762,경+중등도
0.07184310388846359,경+중등도
0.3372045510126756,경+중등도
0.09057037847338152,경+중등도
0.2695256982916033,경+중등도
0.3265320589243797,경+중등도
0.254237027774393,경+중등도
0.28272244068385927,경+중등도
0.10077043147612515,경+중등도
0.2594932479278937,경+중등도
0.14635219733544255,경+중등도
0.13544394834484974,경+중등도
0.3263677914835285,경+중등도
0.08700862962736278,경+중등도
0.2770222693462987,경+중등도
0.09048725250576058,경+중등도
0.003329244033823928,중상
0.17304963119528946,경+중등도
0.24001467723912775,경+중등도
0.2887888276401816,경+중등도
0.007068882724466416,경+중등도
0.14223223556708203,경+중등도
0.3914999612539436,경+중등도
0.10464957505551753,경+중등도
0.19276668541282868,경+중등도
0.16193238687492337,경+중등도
0.10352002251619556,경+중등도
0.09647104436263883,경+중등도
0.0019199097216073692,중상
0.12232157745411487,경+중등도
0.10485636542053815,경+중등도
0.1337724392517947,경+중등도
0.3481580082581843,경+중등도
0.10697063659698046,경+중등도
0.010168986432513953,경+중등도
0.014559383239562814,경+중등도
0.07040480911748202,경+중등도
0.3829581362037406,경+중등도
0.5383245122624013,중상
0.17885545947622097,중상
0.12053447523484928,경+중등도
0.1598457608089187,경+중등도
0.6128305025924492,경+중등도
0.27170449105550193,경+중등도
0.01173606453333414,경+중등도
0.2820664321986179,중상
0.1924628576518618,경+중등도
0.011608368332753702,경+중등도
0.06517748584518733,경+중등도
0.10671438976522425,경+중등도
0.7065038396975164,경+중등도
0.21930227622683163,경+중등도
0.15403416181575721,경+중등도
0.2498939440407797,경+중등도
0.27216925268294506,경+중등도
0.6947837029840841,치명
0.08549057613665528,경+중등도
0.3788465741372087,경+중등도
0.8890449639679335,경+중등도
0.35548076465437983,치명
0.04012915969105366,경+중등도
0.19349432719441584,경+중등도
0.21543827896993492,경+중등도
0.11328716668903298,중상
0.2697329062790895,경+중등도
0.09911798534816428,치명
0.02771313054646772,경+중등도
0.3710328865831352,치명
0.2355848552216937,경+중등도
0.022483610336884355,중상
0.0919482074240966,경+중등도
0.10370023801005294,경+중등도
0.24277980354365655,경+중등도
0.28113690244043016,경+중등도
0.01673568731818957,경+중등도
0.04213717777650688,경+중등도
0.08149965351827215,경+중등도
0.2119949584880638,경+중등도
0.27518254957316807,경+중등도
0.1574343767657256,경+중등도
0.7190886761974933,경+중등도
0.06331994785026489,경+중등도
0.5959516418117691,중상
0.01922358487209477,중상
0.09766043108339424,중상
0.10021847506703092,경+중등도
0.115781443790692,경+중등도
0.7822777438621964,경+중등도
0.4298514113903698,경+중등도
0.18867926121739817,중상
0.3540840261871738,경+중등도
0.029175468974516366,경+중등도
0.19954228044577138,경+중등도
0.1427838961274797,중상
0.08030972711381366,경+중등도
0.09566254000283266,경+중등도
0.29316422696096095,경+중등도
0.16138535445318275,경+중등도
0.11932152739022488,경+중등도
0.050945291506227584,경+중등도
0.048343583862791924,경+중등도
0.17424778265408705,경+중등도
0.19254732789127096,중상
0.03058525644732121,중상
0.07077651936980758,경+중등도
0.3470036471238622,치명
0.11503749524818178,경+중등도
0.10540871280481849,경+중등도
0.11795565411471971,경+중등도
0.1962528121685462,경+중등도
0.1798454840976429,경+중등도
0.5012183595308176,경+중등도
0.6078338100052859,경+중등도
0.08695772786515886,경+중등도
0.20814189848317288,경+중등도
0.3377451445302406,경+중등도
0.16183873151556383,경+중등도
0.3350896490534809,경+중등도
0.07850632147909588,경+중등도
0.08830386865922689,경+중등도
0.3461868977510891,경+중등도
0.4472239287614119,경+중등도
0.0076094220388481,중상
0.5237009633410824,경+중등도
0.07099515158710344,경+중등도
0.1563915357372727,경+중등도
0.24387986394310765,경+중등도
0.0688606438818271,경+중등도
0.28098015617293254,경+중등도
0.38553871426463177,경+중등도
0.0415752376212619,경+중등도
0.8428477158861912,치명
0.1464281768734392,경+중등도
0.5180606436385997,중상
0.0774745765525104,경+중등도
0.02572318224144661,중상
0.19080282495986636,경+중등도
0.08127610384056835,경+중등도
0.6939668823630382,경+중등도
0.22415942582221318,경+중등도
0.12301051526476718,경+중등도
0.043628729988965866,경+중등도
0.19260096937399504,경+중등도
0.07153037684307617,경+중등도
0.060912896088356816,경+중등도
0.06533718808299759,경+중등도
0.4346595557259801,경+중등도
0.0215432605785783,경+중등도
0.18712597810173878,경+중등도
0.07723573435504687,경+중등도
0.025543608169270298,경+중등도
0.4860188993202507,경+중등도
0.09798300647900682,경+중등도
0.17536710422395876,경+중등도
0.12370641696944241,경+중등도
0.14985265338204082,경+중등도
0.16992692370896556,경+중등도
0.5017709478583187,경+중등도
0.22719593965302387,경+중등도
0.2295910967199378,경+중등도
0.356778352581482,경+중등도
0.3084990767451847,경+중등도
0.3617428073105457,경+중등도
0.007056737583851131,경+중등도
0.2363583024988473,중상
0.10635226931073438,경+중등도
0.2383528028503916,경+중등도
0.8547795078599446,치명
0.16270375969738643,경+중등도
0.02965950059929524,경+중등도
0.2927354395542235,경+중등도
0.3626210881226559,경+중등도
0.3247827194297337,경+중등도
0.33897509869252884,경+중등도
0.20109779788818258,경+중등도
0.14233696042873828,경+중등도
0.17153168427696286,경+중등도
0.5263989458933954,경+중등도
0.2440660721793051,경+중등도
0.31306729430638164,경+중등도
0.20964756068816728,경+중등도
0.2014681153025114,경+중등도
0.030497603473628416,중상
0.9090966522888168,치명
0.1184060313219925,경+중등도
0.12338078754595416,경+중등도
0.25975006769299996,경+중등도
0.036755815256339745,경+중등도
0.03251905383526558,경+중등도
0.6001247914793861,경+중등도
0.07781606753474618,경+중등도
0.18080235729587515,경+중등도
0.1877627347756611,경+중등도
0.06896264820522108,경+중등도
0.005660465506946649,중상
0.2253083492588446,경+중등도
0.10437566361485873,경+중등도
0.1865818694644633,경+중등도
0.24405235545780898,경+중등도
0.06668457691872041,경+중등도
0.3322777712611291,경+중등도
0.1384017130744163,경+중등도
0.1399374614165562,경+중등도
0.048267285124246335,중상
0.22060971102065888,경+중등도
0.17061144167954687,경+중등도
0.043843310826630455,경+중등도
0.19475631947523267,경+중등도
0.04903339854358977,경+중등도
0.4895360339306289,경+중등도
0.2011391273093012,경+중등도
0.126920659897977,경+중등도
0.15296896656581763,치명
0.7725963314449656,경+중등도
0.6404505452753504,경+중등도
0.13806430437589998,경+중등도
0.18361076333153545,경+중등도
0.2787229211281104,경+중등도
