P_끼임(Caught-in),P_절단·베임·찔림(Cut),P_추락·압착(Falls),P_물체에 맞음(Struck-by),P_전도·충돌(Trips/Struck-against),실제
0.29235443472862244,0.1008133590221405,0.042581766843795776,0.3321622312068939,0.23208819329738617,전도·충돌(Trips/Struck-against)
0.30321192741394043,0.11584677547216415,0.0889071375131607,0.30143091082572937,0.19060325622558594,전도·충돌(Trips/Struck-against)
0.08450328558683395,0.7436289191246033,0.005283880978822708,0.15503929555416107,0.011544568464159966,절단·베임·찔림(Cut)
0.09080830216407776,0.10012386739253998,0.6178301572799683,0.04934611916542053,0.14189159870147705,전도·충돌(Trips/Struck-against)
0.06747740507125854,0.0516289658844471,0.7739452123641968,0.03341614827513695,0.07353225350379944,추락·압착(Falls)
0.16664697229862213,0.05516984686255455,0.216224804520607,0.453043133020401,0.10891523212194443,전도·충돌(Trips/Struck-against)
0.1410626918077469,0.05510083585977554,0.2635476589202881,0.08413276076316833,0.45615607500076294,추락·압착(Falls)
0.1913488507270813,0.06470505148172379,0.23806652426719666,0.3819512128829956,0.12392832338809967,끼임(Caught-in)
0.04855423420667648,0.8100485801696777,0.01040228083729744,0.11092274636030197,0.020072128623723984,물체에 맞음(Struck-by)
0.23252899944782257,0.15078695118427277,0.24666546285152435,0.08105361461639404,0.28896501660346985,절단·베임·찔림(Cut)
0.38647231459617615,0.13616062700748444,0.059233468025922775,0.22501544654369354,0.1931181102991104,끼임(Caught-in)
0.14065217971801758,0.036277782171964645,0.19441647827625275,0.5123631358146667,0.11629040539264679,추락·압착(Falls)
0.15408651530742645,0.049535300582647324,0.3954646587371826,0.294481098651886,0.10643240064382553,물체에 맞음(Struck-by)
0.12039414793252945,0.02713719941675663,0.09870198369026184,0.038091931492090225,0.7156746983528137,전도·충돌(Trips/Struck-against)
0.26996564865112305,0.05996475741267204,0.468974232673645,0.09389448910951614,0.10720080137252808,추락·압착(Falls)
0.04076983407139778,0.03441619873046875,0.5378556847572327,0.03187251463532448,0.3550857603549957,전도·충돌(Trips/Struck-against)
0.25626248121261597,0.412374883890152,0.08800798654556274,0.1751585304737091,0.06819616258144379,끼임(Caught-in)
0.02837187796831131,0.05373210832476616,0.7640758752822876,0.03312003239989281,0.12070007622241974,추락·압착(Falls)
0.37331461906433105,0.049945369362831116,0.18781524896621704,0.22916527092456818,0.1597595065832138,끼임(Caught-in)
0.09858107566833496,0.1421171873807907,0.2419096976518631,0.1324954330921173,0.3848966062068939,물체에 맞음(Struck-by)
0.3593585789203644,0.05930127948522568,0.1296275109052658,0.20714102685451508,0.24457162618637085,전도·충돌(Trips/Struck-against)
0.051453061401844025,0.02518748678267002,0.18335525691509247,0.02284129336476326,0.7171629071235657,전도·충돌(Trips/Struck-against)
0.05711480230093002,0.03351259231567383,0.4219513237476349,0.03763433173298836,0.4497869610786438,추락·압착(Falls)
0.2883661687374115,0.05573125556111336,0.17046034336090088,0.21092429757118225,0.2745179533958435,물체에 맞음(Struck-by)
0.1728324443101883,0.05609839782118797,0.10253001749515533,0.18525159358978271,0.4832875728607178,전도·충돌(Trips/Struck-against)
0.22827820479869843,0.0751374363899231,0.171258345246315,0.3488912582397461,0.1764347404241562,전도·충돌(Trips/Struck-against)
0.15269345045089722,0.05643487349152565,0.2909385859966278,0.36666983366012573,0.13326320052146912,추락·압착(Falls)
0.3397117555141449,0.090720035135746,0.08462021499872208,0.30279821157455444,0.182149738073349,끼임(Caught-in)
0.1465880572795868,0.4962993264198303,0.15471631288528442,0.14814509451389313,0.05425123870372772,절단·베임·찔림(Cut)
0.3267098665237427,0.042084746062755585,0.2161874920129776,0.15650835633277893,0.2585095167160034,전도·충돌(Trips/Struck-against)
0.23434828221797943,0.024789048358798027,0.48075294494628906,0.05877033248543739,0.20133937895298004,끼임(Caught-in)
0.15231983363628387,0.04585011675953865,0.26217594742774963,0.24691453576087952,0.292739599943161,추락·압착(Falls)
0.1923210620880127,0.15499038994312286,0.2869747281074524,0.13537994027137756,0.23033387959003448,전도·충돌(Trips/Struck-against)
0.2970360815525055,0.07780841737985611,0.0830412209033966,0.3882139027118683,0.1539003998041153,추락·압착(Falls)
0.3250664472579956,0.05771728232502937,0.2382722645998001,0.22899417579174042,0.14994986355304718,물체에 맞음(Struck-by)
0.18134914338588715,0.0990525335073471,0.37831711769104004,0.08987674117088318,0.25140443444252014,전도·충돌(Trips/Struck-against)
0.3576154112815857,0.08177512884140015,0.0785742923617363,0.24797770380973816,0.2340574413537979,물체에 맞음(Struck-by)
0.19734255969524384,0.12117981910705566,0.12861455976963043,0.09496182948350906,0.4579012095928192,전도·충돌(Trips/Struck-against)
0.12552790343761444,0.18451084196567535,0.08266928046941757,0.19660088419914246,0.41069111227989197,전도·충돌(Trips/Struck-against)
0.2725242078304291,0.14921176433563232,0.062269456684589386,0.20062510669231415,0.3153694272041321,전도·충돌(Trips/Struck-against)
0.186282679438591,0.139029398560524,0.27098914980888367,0.14177989959716797,0.2619188725948334,전도·충돌(Trips/Struck-against)
0.06509078294038773,0.8462392687797546,0.0050231097266077995,0.07412266731262207,0.009524182416498661,절단·베임·찔림(Cut)
0.08866914361715317,0.04192990064620972,0.6682058572769165,0.0865316316485405,0.11466352641582489,추락·압착(Falls)
0.3100534975528717,0.07814806699752808,0.24070504307746887,0.2580568194389343,0.11303654313087463,물체에 맞음(Struck-by)
0.09075010567903519,0.04332110658288002,0.2035304605960846,0.03402623161673546,0.6283721327781677,전도·충돌(Trips/Struck-against)
0.12472043931484222,0.6193992495536804,0.09506306797266006,0.0885009765625,0.07231626659631729,절단·베임·찔림(Cut)
0.1366014927625656,0.02540847845375538,0.27191537618637085,0.054166778922080994,0.5119078755378723,전도·충돌(Trips/Struck-against)
0.42146265506744385,0.05672980844974518,0.28128933906555176,0.10490164160728455,0.13561655580997467,전도·충돌(Trips/Struck-against)
0.33710479736328125,0.04835978522896767,0.14588037133216858,0.22508986294269562,0.2435651570558548,전도·충돌(Trips/Struck-against)
0.028736582025885582,0.9485476016998291,0.003505831118673086,0.013977001421153545,0.005232959520071745,절단·베임·찔림(Cut)
0.3668797016143799,0.09094543009996414,0.18318238854408264,0.2289239913225174,0.13006848096847534,전도·충돌(Trips/Struck-against)
0.28486981987953186,0.12831465899944305,0.1440395563840866,0.17567723989486694,0.2670987546443939,전도·충돌(Trips/Struck-against)
0.3148253262042999,0.06737687438726425,0.08352264016866684,0.2342996746301651,0.2999754548072815,끼임(Caught-in)
0.0775933489203453,0.08167944103479385,0.41295063495635986,0.30298319458961487,0.12479342520236969,추락·압착(Falls)
0.15632940828800201,0.0602681003510952,0.2961793839931488,0.32500872015953064,0.16221441328525543,물체에 맞음(Struck-by)
0.3276602625846863,0.06862641125917435,0.19967539608478546,0.16529209911823273,0.23874585330486298,전도·충돌(Trips/Struck-against)
0.2683369815349579,0.4234425723552704,0.0700993686914444,0.17693984508514404,0.0611812025308609,전도·충돌(Trips/Struck-against)
0.30698496103286743,0.08700442314147949,0.0682084709405899,0.19996672868728638,0.3378354012966156,전도·충돌(Trips/Struck-against)
0.3145381510257721,0.05857308954000473,0.07994935661554337,0.24723756313323975,0.29970183968544006,전도·충돌(Trips/Struck-against)
0.04246269911527634,0.01792142353951931,0.8239361047744751,0.01615871861577034,0.09952103346586227,추락·압착(Falls)
0.3390812277793884,0.0858590379357338,0.07271308451890945,0.14802424609661102,0.3543223738670349,전도·충돌(Trips/Struck-against)
0.45670944452285767,0.027247227728366852,0.08434907346963882,0.16038778424263,0.27130648493766785,추락·압착(Falls)
0.06035943329334259,0.03430498018860817,0.3109375834465027,0.03413325175642967,0.5602647066116333,전도·충돌(Trips/Struck-against)
0.11312036216259003,0.6436023712158203,0.11949131637811661,0.08799424022436142,0.03579166159033775,끼임(Caught-in)
0.1606922745704651,0.21848134696483612,0.07948010414838791,0.3783348500728607,0.16301143169403076,물체에 맞음(Struck-by)
0.3170560598373413,0.08135909587144852,0.19427450001239777,0.1766476184129715,0.23066268861293793,전도·충돌(Trips/Struck-against)
0.1107269674539566,0.21277162432670593,0.0793689638376236,0.42984965443611145,0.16728276014328003,물체에 맞음(Struck-by)
0.3503984808921814,0.06166858598589897,0.10164319723844528,0.19531022012233734,0.2909795641899109,절단·베임·찔림(Cut)
0.043969396501779556,0.028985029086470604,0.08019191026687622,0.02639363519847393,0.8204600214958191,전도·충돌(Trips/Struck-against)
0.3331129252910614,0.2571645975112915,0.07441073656082153,0.2450539767742157,0.09025774151086807,물체에 맞음(Struck-by)
0.19712811708450317,0.11617663502693176,0.07118826359510422,0.24307553470134735,0.3724314570426941,전도·충돌(Trips/Struck-against)
0.13707736134529114,0.0906115397810936,0.2043573409318924,0.34532731771469116,0.2226264625787735,절단·베임·찔림(Cut)
0.13115158677101135,0.07352407276630402,0.3605898916721344,0.24284757673740387,0.19188693165779114,추락·압착(Falls)
0.05199049785733223,0.9056200981140137,0.0036475732922554016,0.027623921632766724,0.011117825284600258,절단·베임·찔림(Cut)
0.07778248935937881,0.08687800168991089,0.574421226978302,0.07737898081541061,0.18353933095932007,전도·충돌(Trips/Struck-against)
0.16876186430454254,0.3045685589313507,0.07959424704313278,0.27011537551879883,0.17695994675159454,끼임(Caught-in)
0.09789664298295975,0.10510797798633575,0.3470000922679901,0.16956110298633575,0.28043413162231445,추락·압착(Falls)
0.18194536864757538,0.08464635163545609,0.10461407154798508,0.19268052279949188,0.43611371517181396,전도·충돌(Trips/Struck-against)
0.3475615084171295,0.2846696078777313,0.05002913251519203,0.22365593910217285,0.09408383071422577,물체에 맞음(Struck-by)
0.01945587620139122,0.007798993960022926,0.8767299056053162,0.008609620854258537,0.08740554749965668,추락·압착(Falls)
0.06830181926488876,0.8355854153633118,0.014958321116864681,0.0490713007748127,0.032083187252283096,절단·베임·찔림(Cut)
0.4108620882034302,0.043767888098955154,0.09499632567167282,0.28245988488197327,0.16791380941867828,끼임(Caught-in)
0.1782732456922531,0.08910111337900162,0.3537686765193939,0.20954814553260803,0.1693088710308075,추락·압착(Falls)
0.24383142590522766,0.049515433609485626,0.20338135957717896,0.36066657304763794,0.142605260014534,물체에 맞음(Struck-by)
0.34679681062698364,0.14688429236412048,0.05398738756775856,0.26986080408096313,0.18247069418430328,물체에 맞음(Struck-by)
0.0910211130976677,0.08037365972995758,0.30230504274368286,0.2734071612358093,0.25289303064346313,물체에 맞음(Struck-by)
0.1740332841873169,0.1642143875360489,0.09744434058666229,0.3199167549610138,0.24439126253128052,전도·충돌(Trips/Struck-against)
0.12349728494882584,0.04028201103210449,0.11171916872262955,0.26253440976142883,0.4619671404361725,전도·충돌(Trips/Struck-against)
0.2116411179304123,0.34875333309173584,0.07475196570158005,0.1598120927810669,0.20504149794578552,추락·압착(Falls)
0.16032390296459198,0.12478819489479065,0.3736012876033783,0.06775282323360443,0.27353379130363464,끼임(Caught-in)
0.2463618963956833,0.044211454689502716,0.19857773184776306,0.3753535747528076,0.1354953944683075,물체에 맞음(Struck-by)
0.17378894984722137,0.09413257986307144,0.23069249093532562,0.20362509787082672,0.29776087403297424,추락·압착(Falls)
0.15927456319332123,0.24967744946479797,0.09584258496761322,0.2467014044523239,0.24850398302078247,전도·충돌(Trips/Struck-against)
0.22858726978302002,0.04192411154508591,0.19632349908351898,0.40991243720054626,0.12325268238782883,물체에 맞음(Struck-by)
0.1560032218694687,0.05220922827720642,0.5713752508163452,0.1115143895149231,0.10889789462089539,끼임(Caught-in)
0.11546673625707626,0.28346991539001465,0.12079945206642151,0.12144405394792557,0.3588198125362396,전도·충돌(Trips/Struck-against)
0.20005196332931519,0.19928056001663208,0.1602763533592224,0.13845056295394897,0.30194059014320374,전도·충돌(Trips/Struck-against)
0.23758846521377563,0.3790200352668762,0.05425531417131424,0.20810045301914215,0.12103569507598877,물체에 맞음(Struck-by)
0.3440180718898773,0.47111237049102783,0.016586320474743843,0.11728966981172562,0.05099361017346382,절단·베임·찔림(Cut)
0.2006710171699524,0.1847117394208908,0.10626877844333649,0.2329726368188858,0.2753758132457733,전도·충돌(Trips/Struck-against)
0.24405437707901,0.06192681938409805,0.23933151364326477,0.2568734884262085,0.19781380891799927,절단·베임·찔림(Cut)
0.3088628947734833,0.09141593426465988,0.14986352622509003,0.19512507319450378,0.25473257899284363,끼임(Caught-in)
0.11742625385522842,0.15899421274662018,0.2603954076766968,0.20425622165203094,0.2589278817176819,절단·베임·찔림(Cut)
0.25943002104759216,0.07101035863161087,0.1939520537853241,0.33960282802581787,0.13600477576255798,전도·충돌(Trips/Struck-against)
0.3345421254634857,0.09394975751638412,0.19875389337539673,0.18943126499652863,0.1833229660987854,추락·압착(Falls)
0.26702404022216797,0.09881210327148438,0.03247887268662453,0.2910330593585968,0.3106519281864166,물체에 맞음(Struck-by)
0.10462529212236404,0.17130903899669647,0.4945460557937622,0.08114407956600189,0.14837546646595,절단·베임·찔림(Cut)
0.2641250491142273,0.257770299911499,0.06712871044874191,0.1883103996515274,0.22266557812690735,물체에 맞음(Struck-by)
0.32525816559791565,0.06130065396428108,0.08527763187885284,0.2860639989376068,0.24209950864315033,전도·충돌(Trips/Struck-against)
0.35424908995628357,0.05969899520277977,0.24344682693481445,0.20212899148464203,0.14047609269618988,전도·충돌(Trips/Struck-against)
